timestamp,lsd,btc_price
2010-10-31 00:00:00+00:00,50.0,0.1925
2010-11-01 00:00:00+00:00,50.0,0.194901785714286
2010-11-02 00:00:00+00:00,50.0,0.1938
2010-11-03 00:00:00+00:00,50.0,0.1931
2010-11-04 00:00:00+00:00,50.0,0.23
2010-11-05 00:00:00+00:00,50.0,0.26039
2010-11-06 00:00:00+00:00,50.0,0.39
2010-11-07 00:00:00+00:00,50.0,0.34
2010-11-08 00:00:00+00:00,50.0,0.243
2010-11-09 00:00:00+00:00,50.0,0.215686519668737
2010-11-10 00:00:00+00:00,50.0,0.232668329177057
2010-11-11 00:00:00+00:00,50.0,0.2231
2010-11-12 00:00:00+00:00,50.0,0.2682
2010-11-13 00:00:00+00:00,50.0,0.276
2010-11-14 00:00:00+00:00,50.0,0.27904
2010-11-15 00:00:00+00:00,50.0,0.2682
2010-11-16 00:00:00+00:00,50.0,0.224119052
2010-11-17 00:00:00+00:00,50.0,0.232562394352193
2010-11-18 00:00:00+00:00,50.0,0.2678
2010-11-19 00:00:00+00:00,50.0,0.276929090909091
2010-11-20 00:00:00+00:00,50.0,0.28301
2010-11-21 00:00:00+00:00,50.0,0.27675
2010-11-22 00:00:00+00:00,50.0,0.284791867824497
2010-11-23 00:00:00+00:00,50.0,0.28295
2010-11-24 00:00:00+00:00,50.0,0.282951447028169
2010-11-25 00:00:00+00:00,50.0,0.28
2010-11-26 00:00:00+00:00,50.0,0.2844
2010-11-27 00:00:00+00:00,50.0,0.283
2010-11-28 00:00:00+00:00,50.0,0.27
2010-11-29 00:00:00+00:00,50.0,0.2299
2010-11-30 00:00:00+00:00,50.0,0.2082
2010-12-01 00:00:00+00:00,50.0,0.2275
2010-12-02 00:00:00+00:00,50.0,0.255
2010-12-03 00:00:00+00:00,50.0,0.25105
2010-12-04 00:00:00+00:00,50.0,0.205150841229936
2010-12-05 00:00:00+00:00,50.0,0.19952380952381
2010-12-06 00:00:00+00:00,50.0,0.204
2010-12-07 00:00:00+00:00,50.0,0.233080271333333
2010-12-08 00:00:00+00:00,50.0,0.2388
2010-12-09 00:00:00+00:00,50.0,0.2
2010-12-10 00:00:00+00:00,50.0,0.203990715728007
2010-12-11 00:00:00+00:00,50.0,0.227883815996026
2010-12-12 00:00:00+00:00,50.0,0.219808333069307
2010-12-13 00:00:00+00:00,50.0,0.2299
2010-12-14 00:00:00+00:00,50.0,0.24669
2010-12-15 00:00:00+00:00,50.0,0.239278625
2010-12-16 00:00:00+00:00,50.0,0.24996
2010-12-17 00:00:00+00:00,50.0,0.24
2010-12-18 00:00:00+00:00,50.0,0.241
2010-12-19 00:00:00+00:00,50.0,0.2401
2010-12-20 00:00:00+00:00,50.0,0.267
2010-12-21 00:00:00+00:00,50.0,0.24
2010-12-22 00:00:00+00:00,50.0,0.25
2010-12-23 00:00:00+00:00,50.0,0.25
2010-12-24 00:00:00+00:00,50.0,0.248
2010-12-25 00:00:00+00:00,50.0,0.2499
2010-12-26 00:00:00+00:00,50.0,0.2642
2010-12-27 00:00:00+00:00,50.0,0.265
2010-12-28 00:00:00+00:00,50.0,0.280577623255814
2010-12-29 00:00:00+00:00,50.0,0.299743226313457
2010-12-30 00:00:00+00:00,50.0,0.3
2010-12-31 00:00:00+00:00,50.0,0.3
2011-01-01 00:00:00+00:00,50.0,0.3
2011-01-02 00:00:00+00:00,50.0,0.29997
2011-01-03 00:00:00+00:00,50.0,0.295
2011-01-04 00:00:00+00:00,50.0,0.29895
2011-01-05 00:00:00+00:00,50.0,0.298951384199865
2011-01-06 00:00:00+00:00,50.0,0.298
2011-01-07 00:00:00+00:00,50.0,0.32
2011-01-08 00:00:00+00:00,50.0,0.3229
2011-01-09 00:00:00+00:00,50.0,0.323
2011-01-10 00:00:00+00:00,50.0,0.32659
2011-01-11 00:00:00+00:00,50.0,0.32659
2011-01-12 00:00:00+00:00,50.0,0.3188
2011-01-13 00:00:00+00:00,50.0,0.3176
2011-01-14 00:00:00+00:00,50.0,0.4
2011-01-15 00:00:00+00:00,50.0,0.38603004
2011-01-16 00:00:00+00:00,50.0,0.38679
2011-01-17 00:00:00+00:00,50.0,0.3495
2011-01-18 00:00:00+00:00,50.0,0.31299
2011-01-19 00:00:00+00:00,50.0,0.31299
2011-01-20 00:00:00+00:00,50.0,0.39
2011-01-21 00:00:00+00:00,50.0,0.419906954
2011-01-22 00:00:00+00:00,50.0,0.4441316665
2011-01-23 00:00:00+00:00,50.0,0.4424
2011-01-24 00:00:00+00:00,50.0,0.4199
2011-01-25 00:00:00+00:00,50.0,0.41
2011-01-26 00:00:00+00:00,50.0,0.415371670182556
2011-01-27 00:00:00+00:00,50.0,0.4212
2011-01-28 00:00:00+00:00,50.0,0.446
2011-01-29 00:00:00+00:00,50.0,0.439
2011-01-30 00:00:00+00:00,50.0,0.4799
2011-01-31 00:00:00+00:00,50.0,0.529593782666667
2011-02-01 00:00:00+00:00,50.0,0.7045622449
2011-02-02 00:00:00+00:00,50.0,0.716
2011-02-03 00:00:00+00:00,50.0,0.6931457296
2011-02-04 00:00:00+00:00,50.0,0.811
2011-02-05 00:00:00+00:00,50.0,0.913027023146792
2011-02-06 00:00:00+00:00,50.0,0.898334644609561
2011-02-07 00:00:00+00:00,50.0,0.89
2011-02-08 00:00:00+00:00,50.0,0.918
2011-02-09 00:00:00+00:00,50.0,1.09
2011-02-10 00:00:00+00:00,50.0,0.98031
2011-02-11 00:00:00+00:00,50.0,1.07000629115342
2011-02-12 00:00:00+00:00,50.0,1.07958852459016
2011-02-13 00:00:00+00:00,50.0,1.05
2011-02-14 00:00:00+00:00,50.0,1.0740018575
2011-02-15 00:00:00+00:00,50.0,1.05
2011-02-16 00:00:00+00:00,50.0,1.02443582
2011-02-17 00:00:00+00:00,50.0,1.04
2011-02-18 00:00:00+00:00,50.0,0.8989
2011-02-19 00:00:00+00:00,50.0,0.94898
2011-02-20 00:00:00+00:00,50.0,0.863684676705049
2011-02-21 00:00:00+00:00,50.0,0.8345
2011-02-22 00:00:00+00:00,50.0,0.87023
2011-02-23 00:00:00+00:00,50.0,0.9
2011-02-24 00:00:00+00:00,50.0,0.99189348733234
2011-02-25 00:00:00+00:00,50.0,0.911130113234253
2011-02-26 00:00:00+00:00,50.0,0.958
2011-02-27 00:00:00+00:00,50.0,0.89
2011-02-28 00:00:00+00:00,50.0,0.862066387445658
2011-03-01 00:00:00+00:00,50.0,0.920212695238095
2011-03-02 00:00:00+00:00,50.0,0.9399
2011-03-03 00:00:00+00:00,50.0,0.93909
2011-03-04 00:00:00+00:00,50.0,0.9011152
2011-03-05 00:00:00+00:00,50.0,0.9103
2011-03-06 00:00:00+00:00,50.0,0.890922680958859
2011-03-07 00:00:00+00:00,50.0,0.88502
2011-03-08 00:00:00+00:00,50.0,0.86999
2011-03-09 00:00:00+00:00,50.0,0.861898156979632
2011-03-10 00:00:00+00:00,50.0,0.9329
2011-03-11 00:00:00+00:00,50.0,0.88
2011-03-12 00:00:00+00:00,50.0,0.918
2011-03-13 00:00:00+00:00,50.0,0.89249
2011-03-14 00:00:00+00:00,50.0,0.8949
2011-03-15 00:00:00+00:00,50.0,0.8714621152
2011-03-16 00:00:00+00:00,50.0,0.859995762835686
2011-03-17 00:00:00+00:00,50.0,0.82542
2011-03-18 00:00:00+00:00,50.0,0.81585387602459
2011-03-19 00:00:00+00:00,50.0,0.765
2011-03-20 00:00:00+00:00,50.0,0.746251737576952
2011-03-21 00:00:00+00:00,50.0,0.75897
2011-03-22 00:00:00+00:00,50.0,0.80901
2011-03-23 00:00:00+00:00,50.0,0.84971
2011-03-24 00:00:00+00:00,50.0,0.86688
2011-03-25 00:00:00+00:00,50.0,0.88377
2011-03-26 00:00:00+00:00,50.0,0.8552
2011-03-27 00:00:00+00:00,50.0,0.823076575486161
2011-03-28 00:00:00+00:00,50.0,0.79898
2011-03-29 00:00:00+00:00,50.0,0.7925
2011-03-30 00:00:00+00:00,50.0,0.7897
2011-03-31 00:00:00+00:00,50.0,0.78461
2011-04-01 00:00:00+00:00,50.0,0.77411
2011-04-02 00:00:00+00:00,50.0,0.78199
2011-04-03 00:00:00+00:00,50.0,0.779
2011-04-04 00:00:00+00:00,50.0,0.68
2011-04-05 00:00:00+00:00,50.0,0.71
2011-04-06 00:00:00+00:00,50.0,0.74
2011-04-07 00:00:00+00:00,50.0,0.7538
2011-04-08 00:00:00+00:00,50.0,0.749978098360656
2011-04-09 00:00:00+00:00,50.0,0.73334685
2011-04-10 00:00:00+00:00,50.0,0.7369
2011-04-11 00:00:00+00:00,50.0,0.77
2011-04-12 00:00:00+00:00,50.0,0.86
2011-04-13 00:00:00+00:00,50.0,0.9225
2011-04-14 00:00:00+00:00,50.0,0.9975
2011-04-15 00:00:00+00:00,50.0,0.9899095
2011-04-16 00:00:00+00:00,50.0,1.0499
2011-04-17 00:00:00+00:00,50.0,1.13344696008952
2011-04-18 00:00:00+00:00,50.0,1.16199
2011-04-19 00:00:00+00:00,50.0,1.19759279682067
2011-04-20 00:00:00+00:00,50.0,1.1421
2011-04-21 00:00:00+00:00,50.0,1.21
2011-04-22 00:00:00+00:00,50.0,1.40901
2011-04-23 00:00:00+00:00,50.0,1.69331223521077
2011-04-24 00:00:00+00:00,50.0,1.63075833005894
2011-04-25 00:00:00+00:00,50.0,1.559
2011-04-26 00:00:00+00:00,50.0,1.79480592194128
2011-04-27 00:00:00+00:00,50.0,1.9
